Make	Model	Buyer Gender	Buyer Age	Country	City	Dealer Latitude	Dealer Longitude	Color	New Car	Purchase Date	Sale Price	Discount	Resell Price	5-yr Depreciation	Top Speed	0-60 Time
Citroën	2CV	Male	47	Kazakhstan	Zhangatas	43.56667	69.75	Green	FALSE	23/12/2018	44071.48	0.6185	43216.49	0.06	245.1	13.9
Ford	Tempo	Female	72	Philippines	Binalonan	16.0655913	120.5877148	Pink	FALSE	7/11/2008	65774.81	0.0937	33514.28	0.12	247.5	7.1
Buick	LeSabre	Male	47	United States	Jacksonville	30.3321838	-81.655651	Puce	TRUE	26/01/2006	16281.78	0.2986	43289.16	0.03	248.2	3.8
Saab	9-2X	Male	67	Poland	??ck	52.4506032	19.6362734	Pink	FALSE	26/02/2019	99305.5	0.5959	6753.2	0.24	120.3	8.2
Buick	Skylark	Female	57	China	Dasiping	41.318142	124.719659	Violet	TRUE	5/4/2020	57747.61	0.0135	31158.31	0.01	220.2	3.9
Ford	Escape	Male	42	France	Saint-Étienne	45.4381658	4.3868779	Crimson	TRUE	27/09/2002	56105.94	0.5192	48912.1	0.13	205.3	4.2
Mercury	Sable	Female	66	China	Longgao	34.954134	108.320121	Orange	FALSE	3/12/2006	54543.15	0.6549	39275.37	0.22	185.2	5.8
Plymouth	Colt	Female	67	Indonesia	Gudang	-7.266667	111.866667	Teal	FALSE	5/9/2003	98635.22	0.6865	12622.44	0.12	130.6	3.5
Infiniti	G	Female	68	Vietnam	Thành Ph? H? Long	20.9711977	107.0448069	Goldenrod	FALSE	16/11/2014	14908.65	0.0943	44991.92	0.23	140.7	8.9
Maserati	Spyder	Female	65	Bhutan	Mongar	27.2753739	91.2397775	Violet	FALSE	10/5/2005	98249.11	0.4141	42102.6	0.1	208.9	3.3
Buick	Riviera	Female	49	Mexico	Francisco I Madero	25.7784224	-103.2605763	Indigo	TRUE	3/9/2003	18698.98	0.1543	35681.18	0.22	230.7	7.8
Cadillac	Seville	Male	52	Indonesia	Mondokan	-7.3072726	110.9387418	Turquoise	TRUE	7/7/2008	31017.64	0.1139	11061.65	0.18	132.6	12.7
Buick	Century	Male	75	Mexico	Guadalupe Victoria	32.28786	-115.1046436	Turquoise	FALSE	1/4/2004	32002.48	0.2772	23777.88	0.02	224.7	5.8
Scion	iQ	Male	48	France	Saint-Dizier	48.65639	4.912419	Teal	FALSE	10/3/2011	74486.44	0.4516	12498.33	0.2	177.8	12.7
BMW	7 Series	Male	29	Afghanistan	Kandah?r	31.628871	65.7371749	Teal	TRUE	7/8/2015	89823.58	0.3765	2386.28	0.07	160.8	10.9
Chevrolet	Camaro	Male	49	Serbia	Beška	45.1364794	20.0820648	Maroon	FALSE	19/11/2005	33074.12	0.3942	25108.18	0.12	138.3	8.2
Subaru	Outback	Female	72	Sweden	Norrköping	58.5706557	16.1653052	Yellow	FALSE	23/10/2013	71250.14	0.2833	16427.16	0.23	193.4	14.9
Mercedes-Benz	C-Class	Female	23	United States	Roanoke	37.27	-79.94	Purple	FALSE	22/03/2016	17346.3	0.1651	35127.97	0.13	227.5	2.6
Mercedes-Benz	Sprinter 3500	Female	28	Russia	Roshal’	55.6583701	39.8653499	Green	FALSE	24/10/2008	17223.27	0.1352	41532.58	0.22	236.5	14.9
Chevrolet	Suburban 1500	Male	36	Maldives	Open Stage	5.1053	73.07115	Pink	TRUE	18/03/2009	10490.64	0.4448	16590.68	0.22	230.7	12
Volkswagen	Cabriolet	Female	22	Argentina	Costa Sacate	-31.646394	-63.760259	Fuscia	TRUE	30/04/2016	62673.34	0.2907	30736.63	0.11	195.4	7.6
Ford	E-Series	Female	40	China	Ciyu	27.9593333	-82.7996813	Indigo	TRUE	11/3/2014	10978.72	0.6184	43459.97	0.06	213	4.4
Pontiac	Bonneville	Male	20	Czech Republic	T?ebí?	49.2147869	15.8795516	Goldenrod	FALSE	9/8/2011	30807.01	0.4902	5822.22	0.06	170	4.8
Volvo	XC70	Male	48	Russia	Dal’neye Konstantinovo	55.8071267	44.086347	Orange	TRUE	11/10/2017	83931.45	0.558	33976.28	0.07	125.2	9.7
Chevrolet	Silverado 3500	Male	60	Russia	Strel'na	59.8583045	30.0461164	Red	TRUE	2/3/2012	19302.57	0.2671	38297.54	0.09	233.3	8
Volkswagen	Phaeton	Male	45	Portugal	Marinha	39.856276	-8.78126	Red	TRUE	16/04/2012	36523.47	0.1267	48115.11	0.14	182.4	9.9
Cadillac	CTS	Female	57	Mozambique	Mocímboa	-11.3535985	40.3522402	Indigo	TRUE	17/07/2013	93725.09	0.2	9196.36	0.19	232.3	7.4
Dodge	Durango	Female	48	Colombia	Ciénaga	10.8698035	-73.9830029	Green	FALSE	28/12/2008	48174.96	0.1	27476.49	0.24	210	4.6
Ford	Th!nk	Female	54	Costa Rica	Alajuela	10.0165314	-84.2184331	Red	TRUE	18/01/2011	39940.53	0.6543	21190.78	0.16	133.5	3
Lincoln	Continental	Male	40	Belgium	Charleroi	50.4315612	4.4472854	Mauv	FALSE	28/09/2009	62801.41	0.0507	30282.08	0.15	145.1	10.3
Buick	Riviera	Male	43	Russia	Novocherkassk	47.3695152	40.0905465	Mauv	FALSE	4/11/2014	99186.8	0.057	25198.46	0.11	163.2	13.3
Dodge	Ram 1500	Male	37	China	Jiangbei	29.606703	106.574271	Indigo	FALSE	25/09/2018	12092.44	0.4744	36585.91	0.22	127.8	14.5
Buick	Rendezvous	Female	67	China	Guli	30.051035	122.0185	Red	TRUE	19/08/2007	85370.17	0.5946	43712.39	0.12	122	6.6
Porsche	928	Female	52	Portugal	Casal Velho	39.9097534	-8.6587037	Red	FALSE	18/02/2009	91569.45	0.4036	32465.38	0.09	238.2	7
Toyota	Tacoma	Male	47	Morocco	Zaïo	34.9363523	-2.7431421	Blue	TRUE	17/02/2008	72220.87	0.0389	32189.6	0.05	189.9	2.7
Mitsubishi	Mighty Max	Male	51	Portugal	Antas	41.400351	-8.5116191	Puce	TRUE	19/10/2013	67361	0.0754	8769.93	0.02	173.4	12.5
Nissan	Pathfinder	Female	33	Indonesia	Andongsari	-8.3743886	113.6383187	Puce	TRUE	5/1/2013	16690.95	0.1239	43704.45	0.06	140.9	3
Volvo	C70	Male	75	France	Saint-Louis	47.6329545	7.4839022	Yellow	FALSE	27/04/2009	80005.09	0.2991	17870.18	0.19	184.5	14.4
Land Rover	Range Rover Sport	Female	39	Peru	Achoma	-15.6627675	-71.6992231	Mauv	FALSE	28/04/2003	29540.76	0.1941	37955.07	0.03	239.9	7
Mazda	B-Series	Female	57	Brazil	Poções	-14.5124962	-40.3496894	Puce	TRUE	5/2/2008	94478.19	0.5603	8795.96	0.17	241.1	13.3
Mazda	Miata MX-5	Female	33	Kazakhstan	Taranovskoye	52.8303055	62.5102237	Goldenrod	TRUE	7/9/2017	77820.86	0.4957	7471.61	0.2	167.6	8.8
Mazda	B-Series	Male	23	Russia	Imeni Tsyurupy	55.49567	38.65064	Fuscia	TRUE	8/9/2009	89937.38	0.4935	18059.9	0.18	247.1	14.3
Kia	Sedona	Female	47	China	Menlou	37.417116	121.241089	Aquamarine	FALSE	18/01/2014	14249.35	0.3563	18006.37	0.19	131.8	9
Dodge	Ram Wagon B150	Female	31	Slovenia	Zgornje Gorje	46.3789875	14.0683139	Orange	TRUE	2/10/2014	88403.45	0.6041	38462.86	0.17	140.5	9.4
Oldsmobile	Aurora	Male	29	Colombia	Baranoa	10.796589	-74.915036	Yellow	TRUE	17/04/2015	80008.79	0.5568	15031.08	0.02	212.2	10.1
Hyundai	Accent	Male	24	China	Raofeng	28.953503	116.822083	Violet	FALSE	30/12/2014	96871.79	0.1005	26562.59	0.24	221.9	12.6
Cadillac	Seville	Male	56	Indonesia	Garahaji	-7.0543951	108.6131093	Maroon	TRUE	15/10/2009	32886.45	0.5906	8755.67	0.09	210.2	2.5
Hyundai	Scoupe	Female	54	Libya	Sirte	31.189689	16.5701927	Turquoise	FALSE	6/6/2005	61187.73	0.2211	5769.58	0.02	193.4	6.3
Lincoln	MKT	Male	22	Poland	Unis?aw	53.2122406	18.3961325	Mauv	FALSE	11/5/2017	82041.15	0.4005	4828.57	0.18	194.4	9.5
Volkswagen	riolet	Male	68	Philippines	Veruela	8.0708562	125.9551406	Fuscia	FALSE	18/01/2008	61672.51	0.6507	20056.62	0.17	180.6	10
Land Rover	Range Rover	Male	26	Greece	Xylókastro	38.0772641	22.6326975	Blue	TRUE	22/11/2010	63541.5	0.3331	25320.33	0.04	156.6	3.2
Dodge	Dakota	Male	69	China	Dingqing	31.412405	95.595761	Indigo	TRUE	14/09/2013	67756.75	0.5481	48952.84	0.14	171.1	8.8
Chevrolet	Corvette	Male	31	China	Waihai	37.513068	122.120419	Purple	TRUE	30/12/2005	26799.6	0.327	14872.73	0.2	237.1	6.7
Mitsubishi	i-MiEV	Female	61	Philippines	Mancilang	11.2666664	123.7333298	Mauv	FALSE	20/04/2020	86271.49	0.3916	8972.83	0.23	171.5	13
GMC	Rally Wagon 3500	Male	33	South Korea	Incheon	37.4562557	126.7052062	Khaki	FALSE	1/12/2007	20227.66	0.6088	13643.1	0.17	201.4	13.7
Acura	TSX	Female	53	Philippines	Allacapan	18.226045	121.555888	Yellow	TRUE	16/08/2020	95145.37	0.1882	8939.94	0.15	135.6	13.9
Acura	ZDX	Male	21	Iran	Jong?yeh	31.25583	48.61667	Khaki	FALSE	23/01/2010	78654.35	0.5165	40166.49	0.19	243.9	6.3
Jeep	Cherokee	Female	47	Costa Rica	Alajuela	10.0165314	-84.2184331	Maroon	FALSE	16/01/2002	12269.08	0.2123	24563.29	0.22	199.8	14.1
Toyota	Avalon	Female	24	China	Zhangshi	37.187796	115.387259	Aquamarine	TRUE	25/04/2016	86030.75	0.4619	11812.27	0.19	209.8	8
Lamborghini	Aventador	Male	66	Serbia	Toba	45.6910361	20.5792392	Fuscia	FALSE	2/11/2005	13125.55	0.2144	22598.45	0.17	196.6	10.9
Mercury	Tracer	Male	74	Denmark	København	55.6658602	12.5482906	Teal	FALSE	8/12/2005	10325.14	0.3594	37585.42	0.02	164.4	5.4
Chevrolet	Express 3500	Male	53	Czech Republic	Strážnice	48.9010174	17.3168102	Green	FALSE	1/2/2003	94891.39	0.3807	40867.01	0.2	233.7	9.7
Buick	Reatta	Male	40	Finland	Ruokolahti	61.8628073	29.2775676	Blue	TRUE	20/03/2015	41371.09	0.5978	37181	0.06	120.9	13.5
Volkswagen	Jetta	Male	32	Indonesia	Krajan	-7.5450262	111.6556388	Fuscia	FALSE	7/10/2006	72916.91	0.0153	25187.09	0.06	167.4	6.4
Lincoln	Navigator L	Male	30	Philippines	Bombon	13.6867437	123.1989968	Goldenrod	FALSE	10/9/2012	49236.57	0.233	43125.82	0.2	233	4.7
Nissan	300ZX	Female	65	Japan	Okaya	35.0475045	136.1219714	Green	FALSE	7/11/2008	89316.77	0.4114	48449.81	0.02	232	12.9
Toyota	MR2	Female	40	Argentina	Carhué	-34.6738798	-58.4933597	Fuscia	TRUE	21/06/2006	50551.94	0.1761	17203.48	0.24	217	12.2
Suzuki	Swift	Male	68	Indonesia	Pandian	-7.0116198	113.8510375	Purple	TRUE	1/6/2012	65942.41	0.3707	5906.33	0.16	142.8	2.9
Mitsubishi	Tredia	Male	21	Indonesia	Cipanjang	-6.765065	107.8643822	Teal	FALSE	10/11/2015	64606.94	0.1835	13087.44	0.17	158.5	2.9
Mitsubishi	Mirage	Male	51	Honduras	Quebradas	14.3770919	-87.1242072	Pink	TRUE	18/07/2015	36633.17	0.0835	44886.19	0.11	135.3	6.2
Chevrolet	Monte Carlo	Female	22	Philippines	Tarlac City	15.4621386	120.5797508	Purple	FALSE	18/07/2003	71271.58	0.2057	35814.7	0.21	139.5	2.7
Saturn	VUE	Male	72	Bulgaria	Strazhitsa	43.273732	25.9799453	Pink	TRUE	12/9/2018	51257.04	0.5219	33433.41	0.18	124.9	10.5
Volkswagen	GTI	Female	24	Brazil	Brodósqui	-19.8078961	-43.9875878	Mauv	TRUE	12/4/2017	21483.41	0.5382	28182.4	0.16	193.7	11.2
Plymouth	Prowler	Female	66	Indonesia	Kedungwringin	-7.4461263	109.2207098	Yellow	FALSE	22/04/2012	96277.99	0.0542	23765.17	0.06	164.9	9.5
Audi	A8	Female	37	Indonesia	Duwaktenggi	-7.1108	113.5265	Maroon	FALSE	1/6/2013	11287.25	0.3109	34835.55	0.09	169.1	7.1
Lamborghini	Diablo	Male	38	Mexico	Providencia	32.458113	-116.9193767	Mauv	FALSE	28/02/2013	87311.9	0.3602	42468.37	0.04	245.1	7.2
Mercedes-Benz	R-Class	Male	71	Peru	Ica	-14.07546	-75.7341811	Maroon	TRUE	10/1/2018	32143.59	0.3586	29177.53	0.16	134.3	13.7
Cadillac	XLR	Female	73	Mexico	La Esperanza	23.7173024	-99.185752	Violet	FALSE	23/08/2002	94162.23	0.6042	9953.73	0.19	139.6	9.4
Mazda	626	Male	67	China	Jiutai	44.151742	125.8395731	Yellow	FALSE	8/8/2011	80656.65	0.5077	48768.09	0.14	157.9	3.4
Pontiac	Firebird	Female	29	Japan	Maki	37.6623635	139.1346049	Yellow	FALSE	11/9/2013	94996.07	0.0866	20574.37	0.08	211.9	11.5
Honda	Fit	Male	66	Peru	Granada	-6.05	-77.583333	Crimson	FALSE	13/03/2012	64560.37	0.4185	37241.46	0.01	143.2	10.3
Lexus	ES	Male	34	Czech Republic	B?ezí	49.3431786	16.2159455	Khaki	FALSE	5/4/2005	75463.55	0.6147	35588.91	0.09	249	11.4
BMW	7 Series	Female	40	United States	Chicago	41.8784851	-87.627893	Yellow	FALSE	16/02/2007	22060.5	0.2873	17943.65	0.25	171	6.3
Mazda	Millenia	Male	62	Philippines	Sibucao	10.4184707	122.8854511	Aquamarine	FALSE	29/05/2014	82657.77	0.5422	40091.69	0.21	177.1	2.3
Cadillac	STS	Female	21	Kiribati	Betio Village	1.3566345	172.9299068	Red	TRUE	29/09/2003	81090.19	0.1061	9615.36	0.24	244.3	12.3
Porsche	911	Male	37	China	Baihe	32.809026	110.112629	Green	FALSE	3/1/2017	97251.74	0.6322	42643.45	0.19	228.9	6.9
Chevrolet	Camaro	Male	56	Mexico	El Limon	19.75	-104.016667	Aquamarine	FALSE	7/5/2016	75317.54	0.1836	9056.29	0.22	191.3	3.7
Toyota	Paseo	Female	68	South Africa	Jan Kempdorp	-27.92295	24.83446	Puce	TRUE	2/2/2007	75504.88	0.0641	17685.3	0.15	147.3	4.3
Cadillac	Escalade ESV	Female	22	Brazil	Trindade	-7.740099	-40.2884386	Blue	FALSE	25/10/2006	30728.18	0.2784	45652.52	0.04	203.9	14.7
Oldsmobile	Alero	Female	58	China	Baozi	30.131784	120.056029	Teal	TRUE	26/02/2003	11609.78	0.1487	18772.76	0.05	238.5	3
Lexus	GS	Male	27	United States	Van Nuys	34.1985119	-118.4980744	Turquoise	FALSE	28/11/2002	57177.42	0.5584	49239.84	0.17	182.7	10.9
BMW	M3	Female	26	China	Fengqiao	30.780217	120.644805	Pink	FALSE	8/3/2017	94448.79	0.3456	33328.55	0.14	193.8	7.6
Cadillac	Escalade	Female	63	United States	Omaha	41.2418116	-95.9673967	Green	FALSE	1/3/2008	63096.11	0.0116	19383.63	0.24	229	5.3
Pontiac	Trans Sport	Female	24	China	Sexiong	31.394935	92.835795	Indigo	TRUE	25/02/2008	42191.59	0.3234	6153.48	0.04	195.1	6.5
Honda	Civic	Male	24	China	Shuangjing	39.896995	116.46662	Red	FALSE	16/02/2015	57860.96	0.3663	23047.65	0.25	128.2	4.3
Mercury	Topaz	Female	53	Chile	Los Ángeles	-37.4629159	-72.3612251	Orange	FALSE	17/09/2005	78275.4	0.4228	47037.99	0.08	188	12.1
Mazda	MPV	Female	25	Russia	Mar’ina Roshcha	56.2835999	44.0036677	Crimson	FALSE	16/02/2004	85619.92	0.375	23323.23	0.02	231.3	13
Toyota	MR2	Female	42	Japan	Chino	35.089251	135.8827528	Violet	TRUE	28/10/2004	15788.39	0.1417	6342.62	0.21	248.6	4.3
Suzuki	Swift	Female	61	Japan	Sasebo	33.2487196	129.736915	Violet	FALSE	12/5/2007	94045.36	0.292	43612.23	0.15	193.9	14
Honda	Civic	Male	41	Kosovo	Gllogjan	42.5064293	20.3599254	Green	FALSE	2/1/2007	14212.88	0.5741	42933.75	0.1	201.2	5.3
BMW	6 Series	Male	20	China	Yiqi	39.1372748	111.6717568	Aquamarine	TRUE	12/9/2009	33527.91	0.4813	38401.36	0.24	137.2	8.7
Mercury	Lynx	Male	26	China	Qiankeng	26.750454	119.105047	Red	TRUE	19/09/2002	29563.05	0.6375	49251.28	0.07	149	4
Buick	Century	Female	40	France	Paris 04	43.4945737	5.8978018	Red	TRUE	10/2/2008	28069.14	0.5426	3384.26	0.14	160.7	10.6
BMW	330	Male	67	China	Zonghan	30.184907	121.227926	Fuscia	TRUE	14/11/2008	36588.29	0.6931	40824.76	0.19	177.9	2.8
Mitsubishi	Cordia	Female	65	United States	Migrate	38.3237571	-108.1821561	Blue	TRUE	1/3/2020	86350.32	0.2886	19850.62	0.05	124.5	7.5
Volvo	XC90	Female	44	France	Charleville-Mézières	49.7720225	4.7201792	Khaki	TRUE	19/11/2015	36700.85	0.3661	45806.23	0.07	242	7.6
Maserati	228	Female	57	China	Huangdimiao	33.765469	113.994752	Maroon	TRUE	23/09/2004	34974.97	0.3454	13020.82	0.24	174.2	3.4
Chevrolet	Venture	Male	31	Greece	Ílion	38.0307786	23.7038541	Goldenrod	FALSE	22/01/2016	30928.23	0.2766	23444.88	0.06	225.1	5.2
Cadillac	DeVille	Female	35	Russia	Bobrov	51.0846	39.9972	Violet	FALSE	18/09/2003	66283.98	0.1554	2409.83	0.08	233.3	5.1
Lexus	IS-F	Female	53	China	Taixi	34.657162	104.549685	Green	FALSE	9/6/2003	75332.73	0.5734	32384.92	0.1	124.1	9.8
Nissan	Sentra	Male	34	Sweden	Umeå	63.8277884	20.2655577	Turquoise	FALSE	15/07/2003	30464.6	0.2383	3131.75	0.19	128.5	11.6
Ford	Escort	Female	37	Pakistan	Daulatpur	26.5015552	67.9731001	Blue	FALSE	26/10/2007	63177.26	0.6657	33893.06	0.11	221.4	7.7
Oldsmobile	Cutlass Supreme	Female	56	China	Shanghu	31.2303904	121.4737021	Red	FALSE	20/03/2019	46709.45	0.1984	46184.9	0.2	158.4	3.5
Audi	S8	Female	23	Indonesia	Cihideung Satu	-6.9028171	106.3483779	Yellow	TRUE	21/01/2015	62496.9	0.0454	49168.17	0.25	236.8	14
Pontiac	Firebird	Male	45	Kuwait	Bay?n	29.2979895	48.0510871	Indigo	TRUE	1/7/2017	71301.2	0.5589	15055.83	0.13	228.5	13.5
Hyundai	Elantra	Female	20	China	Huaqiao	24.9372186	118.6422409	Mauv	FALSE	16/12/2016	66157.63	0.4681	8070.75	0.07	125.1	2.3
Aston Martin	DB9	Male	47	Ukraine	Tlumach	48.8588029	24.9968117	Violet	FALSE	6/12/2018	75881.16	0.6649	10743.31	0.03	240	9.7
Volkswagen	New Beetle	Male	36	Ecuador	Machachi	-0.5107264	-78.5717631	Pink	FALSE	9/1/2009	34156.39	0.2888	13071.68	0.23	172.3	2.5
Chevrolet	Uplander	Male	59	Indonesia	Pedaringan	-7.5539241	110.8513373	Green	FALSE	19/04/2020	80753.77	0.49	43638.05	0.23	246.5	11.4
Ford	Laser	Female	72	Liberia	Kakata	6.5301553	-10.3441758	Pink	TRUE	5/9/2008	42705.38	0.0404	36280.09	0.15	187	14.9
Audi	S4	Male	54	United States	Austin	30.181965	-97.9701846	Pink	FALSE	7/9/2009	91954.75	0.3502	26324.05	0.15	220.6	11.2
Chevrolet	Silverado 3500	Male	31	Thailand	Khuan Don	6.7762942	100.0952764	Red	TRUE	18/09/2009	27819.81	0.159	6869.51	0.02	212.2	8.1
Pontiac	LeMans	Male	57	Indonesia	Sembon	-8.0088871	111.9030636	Teal	TRUE	16/02/2009	21740.31	0.6864	7654.25	0.02	239.1	12.7
Mercedes-Benz	E-Class	Female	41	Indonesia	Bangkal	-2.609012	112.403397	Goldenrod	FALSE	16/10/2009	69723.76	0.3496	42080.13	0.17	231.7	14.7
Hyundai	Tiburon	Male	42	Poland	Lipno	50.781501	20.1074449	Crimson	TRUE	7/3/2009	77331.24	0.5947	33602.25	0.09	211.9	11
BMW	5 Series	Male	47	Sweden	Göteborg	57.7314074	12.0595845	Fuscia	TRUE	24/06/2010	34912.47	0.6632	27425.31	0.14	151.7	10.5
Toyota	Echo	Female	27	China	Hong’an	31.288153	114.618236	Turquoise	TRUE	29/07/2009	47526.31	0.3834	24888.7	0.25	155	2.6
Mitsubishi	Precis	Male	57	Canada	Oromocto	45.8486646	-66.4812859	Maroon	TRUE	5/12/2020	13154.21	0.2667	2261.63	0.05	142.2	10
Plymouth	Breeze	Female	36	Portugal	Casal Galego	39.7541856	-8.9232253	Blue	FALSE	4/4/2013	72003.02	0.5215	38508.27	0.15	180.6	14
BMW	Alpina B7	Female	74	Serbia	Majur	44.7695326	19.6480341	Crimson	FALSE	29/03/2018	30087.14	0.343	13755.88	0.23	232.1	12.2
Lamborghini	Gallardo	Female	71	Sweden	Höganäs	56.1947971	12.5789091	Indigo	TRUE	25/04/2002	73063.61	0.2606	10648	0.18	229.5	12.5
Chevrolet	Corvette	Male	30	Indonesia	Jalinan	-6.1841954	106.8310178	Yellow	FALSE	3/1/2013	62426.28	0.1793	3388.52	0.2	126.8	13.6
Oldsmobile	Cutlass Supreme	Male	34	Portugal	Chavães	41.0882428	-7.5686677	Pink	FALSE	30/07/2011	25403.61	0.4088	26004.13	0.03	177.3	9.1
Pontiac	Grand Am	Female	20	Estonia	Toila	59.4180182	27.5120803	Teal	FALSE	2/3/2004	30618.42	0.1583	15690.94	0.19	194	10.1
Pontiac	LeMans	Male	51	Bangladesh	Sylhet	24.904539	91.8611011	Teal	TRUE	30/08/2007	11462.18	0.0404	23415.84	0.24	205.4	11.6
Audi	S6	Female	46	Afghanistan	Mehtar L?m	34.6672527	70.2117178	Indigo	TRUE	7/12/2006	14625.68	0.6734	5684.73	0.1	232.8	8.1
Toyota	Celica	Female	48	Kosovo	Vitina	42.3221655	21.3589808	Teal	FALSE	23/10/2008	81325.5	0.4594	14341.09	0.04	186.8	10.6
Mazda	Mazdaspeed 3	Male	66	Russia	Belyye Stolby	55.3290543	37.8525252	Fuscia	TRUE	16/07/2018	87205.22	0.1708	30566.12	0.17	225.1	13.6
Porsche	Cayenne	Male	30	Philippines	Quibal	17.3378289	121.759491	Red	FALSE	21/07/2014	31749.91	0.6198	14153.44	0.06	133.6	2.6
GMC	Sierra 3500HD	Female	33	Chile	Machalí	-34.179452	-70.6565151	Puce	TRUE	11/11/2016	16808.62	0.2544	5304.96	0.03	249.9	6.2
Toyota	Sienna	Male	24	France	La Rochelle	47.9318074	5.2893597	Crimson	TRUE	13/08/2012	13332.2	0.1886	32824.09	0.05	172.7	6.6
Audi	Allroad	Male	50	Finland	Perniö	60.2285503	23.1228098	Crimson	TRUE	17/12/2019	80022.41	0.465	46695.57	0.22	129.5	12.5
Chevrolet	Corvette	Male	46	France	Thiais	48.7499009	2.3825213	Blue	TRUE	5/9/2007	30130.99	0.1085	6399.59	0.18	233.8	9.9
Mitsubishi	Tredia	Female	29	China	Huangshi	30.20003	115.038835	Crimson	FALSE	10/7/2013	60357.76	0.5858	24392.8	0.17	199	8
